Time,FAM/FAM T (+),TYE/TYE T (-),CY5/CY5 T (m)
8.466666667,0.007224125,-0.0026738,-0.004550325
8.483333333,0.007101197,-0.002468658,-0.004632539
8.5,0.007433729,-0.002859817,-0.004573912
8.516666667,0.007761038,-0.003248319,-0.004512719
8.533333333,0.008092459,-0.003638288,-0.004454171
8.55,0.007934213,-0.00331989,-0.004614323
8.566666667,0.007779076,-0.003005574,-0.004773502
8.583333333,0.007622021,-0.002686398,-0.004935623
8.6,0.008410423,-0.003128932,-0.005281491
8.616666667,0.009198809,-0.003577594,-0.005621215
8.633333333,0.009987913,-0.004020598,-0.005967315
8.65,0.010235608,-0.004119614,-0.006115995
8.666666667,0.010484679,-0.004213956,-0.006270723
8.683333333,0.010731718,-0.004312536,-0.006419182
8.7,0.010076433,-0.004160953,-0.00591548
8.716666667,0.009422131,-0.004006458,-0.005415674
8.733333333,0.008766388,-0.003853786,-0.004912602
8.75,0.008811704,-0.003879227,-0.004932477
8.766666667,0.008858545,-0.003901,-0.004957545
8.783333333,0.008904521,-0.003927607,-0.004976915
8.8,0.009290822,-0.004269216,-0.005021606
8.816666667,0.009676669,-0.004616381,-0.005060288
8.833333333,0.010062251,-0.004958581,-0.00510367
8.85,0.009690661,-0.004361523,-0.005329138
8.866666667,0.009318944,-0.003765892,-0.005553051
8.883333333,0.008946935,-0.003170052,-0.005776884
8.9,0.008665594,-0.003219432,-0.005446162
8.916666667,0.008380922,-0.003268014,-0.005112908
8.933333333,0.008099397,-0.003317311,-0.004782086
8.95,0.008390284,-0.003230448,-0.005159835
8.966666667,0.008681518,-0.00314251,-0.005539008
8.983333333,0.008973702,-0.003054691,-0.005919012
9,0.009168318,-0.003550736,-0.005617582
9.016666667,0.00936407,-0.004042266,-0.005321804
9.033333333,0.009558535,-0.004537815,-0.005020719
9.05,0.009343297,-0.004116814,-0.005226482
9.066666667,0.00913315,-0.003697258,-0.005435892
9.083333333,0.008918284,-0.003276647,-0.005641637
9.1,0.009173135,-0.003713951,-0.005459184
